Provider #,Campus #,Program #,TWIST Provider ID,TWIST Program ID,Program Status,Provider Name,Description Of Provider,Provider URL,Institution Type,Campus Name,Campus Address1,Campus Address2,Campus City,Campus State,Campus Zip Code,Campus County,"Information:
Public Transit?","Information:
Onsite Childcare?","Information:
Flexible Hours?",Program Name,Program Description,Pell Eligible,Academic PreRequisites,Program URL,Program Outcome,Associated Credential Name,"Length:
Contact Hours","Length:
Weeks",Program Format,Occupation Code 1,Occupation Code 2,Occupation Code 3," Required Cost:
Tuition & Fees ","Required Cost Description:
Tuition & Fees"," Required Cost:
Books Supplies ","Required Cost Description:
Books Supplies"," Optional Cost:
Other ","Optional Cost Description:
Other"," (Out Of District)
Cost: 
Tuition & Fees ","(Out Of District)
Cost Description:
 Tuition & Fees",Number Of Apprentices,Program Start Date,Program Last Update Date
10161,20332,32211,72655,109475,Approved,100 Black Men of San Antonio Inc. (Pre Apprenticeship),Community Organization,www.100blackmensa.org,Private non-profit,San Antonio,1104 Denver Blvd,,San Antonio,TX,78210,Bexar,,,,YouthBuild San Antonio,Pre Apprentice Certificate Training,,None,www.100blackmensa.org/YouthBuild,Industry recognized certificate or certification,,24,13,Hybrid,47211100,,, 5600 ,includes all classroom and hands on training, 175 ,,,,,,,"February 12, 2021 4:06 PM","December 15, 2021 10:14 PM"
10144,20311,32083,72580,108573,Approved,"100 Black Men of San Antonio, Inc.",Community Organization,www.100blackmensa.org,Private non-profit,San Antonio,1104 Denver Blvd,,San Antonio,TX,78210,Bexar,Yes,No,Yes,YouthBuild San Antonio,Electrician,No,None,www.100blackmensa.org,Certificate of completion of an apprenticeship,NCCER / Licensed Electrician,160,4,Hybrid,47211100,,, 5600 ,, 1983 ,Book Tools Safety Gear,,,,,8,"January 7, 2021 5:35 PM","March 16, 2021 1:23 PM"
10029,20232,31513,72477,108235,Approved,160 Driving Academy,Class A CDL Truck Driving Training,www.160drivingacademy.com,Public,160 Driving Academy Houston,99 Oates Road,,Houston,TX,77013,Harris,,,,Class A CDL Program,To prepare students to pass all examinations required to receive a Class A CDL.,No,High School Diploma or Equivalent,www.160drivingacademy.com,Industry recognized certificate or certification,Certificate of Completion from 160 Driving Academy and Class A CDL,160,4,In-person,53303200,,, 4350 ,includes all classroom and behind the wheel training,,, 150 ,Other,,,,"August 13, 2020 8:32 PM","October 29, 2020 3:06 PM"
10029,20232,33036,72477,109419,Approved,160 Driving Academy,Class A CDL Truck Driving Training,www.160drivingacademy.com,Public,160 Driving Academy Houston,99 Oates Road,,Houston,TX,77013,Harris,,,,Class A CDL Program- Night Class,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,No,High School Diploma or Equivalent,www.160drivingacademy.com,Industry recognized certificate or certification,Certificate of Completion from 160 Driving Academy and Class A CDL if the exam is passed,160,4,In-person,53303200,,, 4350 ,,,,,,,,,"August 26, 2021 9:08 AM","November 28, 2021 11:10 PM"
10188,20387,33038,72639,109397,Approved,160 Driving Academy - Dallas,Class A CDL Truck Driving Training,www.160drivingacademy.com,Public,160 Driving Academy Dallas,2421 W Kiest Blve,,Dallas,TX,75233,Tarrant,,,,Class A CDL Program,To prepare students to pass all examinations required to receive a Class A CDL.,No,High School Diploma or Equivalent,www.160drivingacademy.com,Industry recognized certificate or certification,Certificate of Completion from 160 Driving Academy and Class A CDL if the exam is passed,160,4,In-person,53303200,,, 4350 ,,,,,,,,,"August 26, 2021 9:14 AM","November 14, 2021 9:58 PM"
10225,20438,33341,72648,109440,Approved,160 Driving Academy Pearland,CDL Class A Truck Driving Training,www.160drivingacademy.com,Private for-profit,160 Driving Academy Houston,13345 South Freeway,,Houston,TX,77047,Harris,Yes,No,Yes,Class A CDL Program,To prepare students to pass all examinations required to receive a Class A CDL.,No,High School Diploma or Equivalent,www.160drivingacademy.com,Industry recognized certificate or certification,Class A CDL,160,4,In-person,53303200,,, 4350 ,includes all classroom and behind the wheel training,,,,,,,,"November 28, 2021 11:10 PM","December 12, 2021 11:37 PM"
10184,20381,33031,72614,109071,Approved,ABC Central Texas Chapter,The mission of the ABC Central Texas Apprenticeship Program is to build a highly skilled workforce of craft professionals for local industry and construction.,www.abccentraltexas.org,National Apprenticeship,ABC Central Texas Chapter,2600 Longhorn Blvd.,Suite 105,Austin,TX,78758,Travis,Yes,No,No,"ABC of Central Texas, Inc. HVAC Program",HVAC Tech,No,High School Diploma or Equivalent,www.abccentraltexas.org,Certificate of completion of an apprenticeship,HVAC Certification,702,124,Hybrid,49902100,,, 1500 ,Annual Tuition, 200 ,Books,,,,,15,"August 17, 2021 12:02 PM","August 17, 2021 12:02 PM"
10184,20381,33030,72614,109070,Approved,ABC Central Texas Chapter,The mission of the ABC Central Texas Apprenticeship Program is to build a highly skilled workforce of craft professionals for local industry and construction.,www.abccentraltexas.org,National Apprenticeship,ABC Central Texas Chapter,2600 Longhorn Blvd.,Suite 105,Austin,TX,78758,Travis,Yes,No,No,"ABC of Central Texas, Inc. Pipefitting Program",Pipefitter,No,High School Diploma or Equivalent,www.abccentraltexas.org,Certificate of completion of an apprenticeship,Pipefitting Certification,672,124,Hybrid,47215200,,, 1500 ,Annual Tuition, 200 ,Books,,,,,15,"August 17, 2021 12:02 PM","August 17, 2021 12:02 PM"
10184,20381,33029,72614,109069,Approved,ABC Central Texas Chapter,The mission of the ABC Central Texas Apprenticeship Program is to build a highly skilled workforce of craft professionals for local industry and construction.,www.abccentraltexas.org,National Apprenticeship,ABC Central Texas Chapter,2600 Longhorn Blvd.,Suite 105,Austin,TX,78758,Travis,Yes,No,No,"ABC of Central Texas, Inc. Plumbing Program",Plumber,No,High School Diploma or Equivalent,www.abccentraltexas.org,Certificate of completion of an apprenticeship,Plumbing Certification,705,124,Hybrid,47215200,,, 1500 ,Annual Tuition, 200 ,Books,,,,,15,"August 17, 2021 12:02 PM","August 17, 2021 12:02 PM"
10184,20381,33028,72614,109068,Approved,ABC Central Texas Chapter,The mission of the ABC Central Texas Apprenticeship Program is to build a highly skilled workforce of craft professionals for local industry and construction.,www.abccentraltexas.org,National Apprenticeship,ABC Central Texas Chapter,2600 Longhorn Blvd.,Suite 105,Austin,TX,78758,Travis,Yes,No,No,"ABC of Central Texas, Inc. Sheet Metal Program",Sheet Metal Worker,No,High School Diploma or Equivalent,www.abccentraltexas.org,Certificate of completion of an apprenticeship,Sheet Metal Certification,635,124,Hybrid,47221100,,, 1500 ,Annual Tuition, 200 ,Books,,,,,15,"August 17, 2021 12:02 PM","August 17, 2021 12:02 PM"
